Title,Description,Date,Source,Annotation category,Annotation tone
Corey Taylor: Slipknot Members Are “Not Rich” and Are “Never Gonna See Taylor Swift Money”,"The Slipknot singer says he and his bandmates are ""upper middle-class.""
Corey Taylor: Slipknot Members Are “Not Rich” and Are “Never Gonna See Taylor Swift Money”
Jon Hadusek",2023-10-24T17:34:38Z,Consequence.net,Public Image & Media Perception,Neutral
Why I believe in Taylor Swift and the joy of watching her Eras Tour movie,"As the cinematic instalment of her US tour opened last weekend, audiences got up close and personal like never before, writes The Financial Times’ Jo Ellison.",2023-10-24T23:29:00Z,CNA,Performances,Positive
"Revisiting the hits, misses, and moments from Taylor Swift's original 1989","Looking at it now, it all seems so simple: the year was 2014, and Taylor Swift turned the world upside down by releasing a pure pop album called 1989. Already a superstar, 1989 sent Swift into the stratosphere. The singles were inescapable, the tour was a tri…",2023-10-24T15:00:00Z,The A.V. Club,Musical Creation,Neutral
"AMC boosted by Taylor Swift and summer blockbusters, cinema foot-traffic data show","AMC Entertainment Holdings Inc. is enjoying a foot-traffic boost thanks to “Taylor Swift: The Eras Tour” and summer blockbusters “Barbie” and “Oppenheimer,” according to U.S. data from analytics company Placer.ai. “Despite the ongoing economic headwinds impac…",2023-10-24T21:06:06Z,Biztoc.com,Industry-specific Impact,Positive
New Taylor Swift Book Rises to No. 1 Bestseller on Amazon & It’s On Sale: Shop Here,"All products and services featured are independently chosen by editors. However, Billboard may receive a commission on orders placed through its retail links, and the retailer may receive certain auditable data for accounting purposes. If you have a “Blank Sp…",2023-10-25T20:22:13Z,Biztoc.com,Performances,Neutral
Taylor Swift Mystery: Why Is Her Glam Team So Secretive About The Star’s Makeup?,"From the moment The Eras Tour movie premiered on Oct. 11, savvy PR teams have kicked into overdrive, sending out dressing releases highlighting the head-to-toe elements of Taylor Swift’s fashion choices. At the film’s high-profile L.A. premiere at The Grove, …",2023-10-25T20:46:06Z,Biztoc.com,Performances,Neutral
Taylor Swift Ties Janet Jackson For The Fifth-Most No. 1 Hits In Hot 100 History,"More than four years after it was initially released, Taylor Swift's song “Cruel Summer” has officially become the No. 1 track in America. This week, the tune bolts to the peak position on the Hot 100, Billboard's weekly ranking of the most-consumed songs in …",2023-10-23T20:40:07Z,Biztoc.com,Musical Creation,Neutral
House's Taylor Swift and Travis Kelce-inspired Halloween display goes viral,One house has summoned the spirits of Taylor Swift and boyfriend Travis Kelce for a Halloween display that many online are holding up as the year's best so far. The subsequent post ended up going viral after the display was spotted by Kelsey Lundquist while o…,2023-10-24T16:22:07Z,Biztoc.com,Industry-specific Impact,Positive
Taylor Swift spotted at Chiefs-Chargers game at Arrowhead Stadium,Taylor Swift has touched down in Kansas City to attend the Chiefs' home game against the Chargers.,2023-10-22T21:19:46Z,Fox Sports,Romance,Neutral
"Why Jason Kelce Has ""Alarms"" About Travis Kelce Dating Taylor Swift","Jason Kelce can see that everything has changed since Travis Kelce started dating Taylor Swift.
While the Philadelphia Eagles center is thrilled for his younger brother amid his relationship with...",2023-10-24T02:54:05Z,Eonline.com,Romance,Negative
Taylor Swift’s “Cruel Summer” Hits #1 Four Years After Release,"When Taylor Swift released Lover in the summer of 2019, Swifties quickly identified the surging synth-pop track “Cruel Summer” as the album’s most obvious hit. But the song was never released as a single, and then COVID struck, and then suddenly Swift had sev…",2023-10-23T18:05:47Z,Stereogum,Musical Creation,Positive
Taylor Swift Has a Mastermind Meeting With Shawn Levy & Ryan Reynolds,"Taylor Swift is pooling all her friends together.
The pop star was spotted out in New York on Oct. 26 heading to what appeared to be a meeting with the stars of Deadpool 3, including friend Ryan...",2023-10-26T22:14:43Z,Eonline.com,Personal Life,Positive
The Latest On Taylor Swift And Travis Kelce's Potential Relationship,"The most notable news from our resident popstar BFF Taylor Swift (aside from her record-breaking Eras Tour movie, of course) is her most recent boyfriend update. Kansas City Chiefs player Travis Kelce and Taylor Swift were first linked after Travis tried to g…",2023-10-23T21:37:00Z,Brit + Co,Romance,Neutral
Taylor Swift’s “Cruel Summer” hits No.1 on Hot 100 because we don't have seasons anymore,"Taylor Swift, perhaps, in between securing the top spot at the American box office for the second week and weeping at the breadth of her domain for there are no more worlds left to conquer, has made another startling step towards world domination. Four years …",2023-10-24T03:39:50Z,The A.V. Club,Musical Creation,Positive
You'll Need to Calm Down After Taylor Swift and Travis Kelce’s Kiss,"There should be no more blank spaces about where these two stand.
Taylor Swift proved she is Travis Kelce's cheer captain as she supported the Kansas City Chiefs tight end at his Oct. 22 game...",2023-10-23T19:34:28Z,Eonline.com,Romance,Positive
"Why Travis Kelce’s Dad Says Taylor Swift Didn’t Get the “Diva Memo""","Perhaps she charmed his dad with self-effacing jokes.
After Taylor Swift was spotted chatting with Travis Kelce's dad Ed Kelce during the NFL star's Oct. 12 football game, the family patriarch...",2023-10-23T23:04:25Z,Eonline.com,Personal Life,Positive
Taylor Swift & Brittany Mahomes Are the Real MVPs for Their Handshake,"Taylor Swift and Brittany Mahomes know how to be cheer captains all too well.
And the pair proved just that while cheering on Travis Kelce, Patrick Mahomes and the Kansas City Chiefs as they faced...",2023-10-23T12:04:23Z,Eonline.com,Personal Life,Positive
Travis Kelce Reacts to Coach Andy Reid's Approval of Taylor Swift,"When it comes to Taylor Swift's NFL attendance, Andy Reid isn't ready to give her the sack. 
In fact, the Kansas City Chiefs' head coach thinks her being there is a total touchdown because, as it...",2023-10-25T16:17:13Z,Eonline.com,Romance,Neutral
"Taylor Swift Cheers on Travis Kelce, Wears Her Heart on Her Sleeve","Taylor Swift attended her fourth Kansas City Chiefs game to root for Travis Kelce, weeks after they began their romance and after visiting his home. And she expressed her feelings with her style.",2023-10-22T21:58:31Z,Eonline.com,Romance,Positive
"Every Taylor Swift Studio Album, Ranked","Taylor Swift is one of the greatest singer-songwriters of our generation. Ahead of the “Shake It Off” superstar’s release of 1989 (Taylor’s Version), we’re taking a look back and seeing how all of her studio albums fared on Metacritic, which compiles reviews …",2023-10-26T23:00:43Z,Just Jared,Musical Creation,Neutral
From Lena Dunham to Pitbull: Taylor Swift’s Wonderfully Weird 1989 Tour Guests,"Photo Illustration by The Daily Beast / Getty
To honor Taylor Swift’s latest rerecording, we’re celebrating 1989 (Taylor’s Version) Week at The Daily Beast’s Obsessed. That means we’re throwing it back to 2014, to re-live everything that Taylor—and the rest …",2023-10-25T08:28:10Z,Daily Beast,Performances,Positive
Taylor Swift kissing Travis Kelce is the latest thing to have Swifties excited,A photo showing Taylor Swift sweetly kissing Travis Kelce has caused some excitement among her die hard fan base.,2023-10-24T13:35:13Z,CNN,Romance,Positive
"Disney, Target & Taylor Swift: Wharton Professor Breaks Down Marketing Trends",Marketing professor David Reibstein talks corporate storytelling and some of the biggest trends right now in marketing.…Read More,2023-10-26T20:19:09Z,Upenn.edu,Industry-specific Impact,Positive
Taylor Swift Joins Elite Musical Company with 10th No. 1 Single,"Four years after its release, ""Cruel Summer"" tops this week's Billboard Hot 100.
Taylor Swift Joins Elite Musical Company with 10th No. 1 Single
Scoop Harrison",2023-10-23T18:09:35Z,Consequence.net,Musical Creation,Positive
Grimes Says Her Song “California” Is Her “Doing Taylor Swift Cosplay”,"The musician explained in a recent interview how she got the inspiration for her 2015 track.
Grimes Says Her Song “California” Is Her “Doing Taylor Swift Cosplay”
Abby Jones",2023-10-26T18:06:34Z,Consequence.net,Industry-specific Impact,Positive
"The Good, the Bad, and the Swiftie of Taylor Swift’s Eras Tour Concert Film","In this episode of The Pitchfork Review podcast, our critics wade through the ups and downs of the pop superstar’s new record-breaking live movie.",2023-10-26T14:16:47Z,Pitchfork,Performances,Neutral
Who Is Travis Kelce's Girlfriend? Taylor Swift Dating Timeline Revealed!,"Well, it’s pretty much confirmed that Travis Kelce and Taylor Swift are an item, and she’s in Kansas City to watch the Chiefs play the Los Angeles Chargers. We’ve gathered all the important pieces of information in their dating timeline so far, including how …",2023-10-22T20:08:07Z,Just Jared,Romance,Neutral
Taylor Swift Dating History - Every Rumored & Confirmed Ex-Boyfriend Revealed,"Following the news of Taylor Swift’s apparent confirmation of her latest romance with some PDA over the weekend, Swifties are eagerly waiting to hear more about Taylor‘s love life. The artist has had a highly publicized dating history over the years, and alth…",2023-10-26T21:30:16Z,Just Jared,Romance,Neutral
Christopher Nolan praises Taylor Swift,"Christopher Nolan: Taylor Swift Skipped Studios for 'Eras Tour' Release and Is Showing Them How 'Incredibly Valuable' Movie Theaters Are https://t.co/CbdkxMFhUi
— Variety (@Variety) October 19, 2023“Taylor Swift is about to show the studios, because her conc…",2023-10-22T07:28:22Z,Livejournal.com,Performances,Positive
Travis Kelce trying to impress Taylor Swift is GREAT for Chiefs | What’s Wright?,"The Kansas City Chiefs were able to take care of business against the Los Angeles Chargers, soundly defeating them at home in Arrowhead 31-17. So how do Patrick Mahomes’ Chiefs avoid complacency with that challenge out of the way? Nick Wright points to one fa…",2023-10-24T22:03:23Z,Fox Sports,Romance,Positive
Chiefs' Travis Kelce responds to Andy Reid's comments on the impact of Taylor Swift,"Travis Kelce is thankful for coach Andy Reid's approval of the presence of Taylor Swift at Chiefs games: ""You know you're doing something right.""",2023-10-25T20:07:56Z,Fox Sports,Romance,Neutral
Travis Kelce dazzled in Week 7. Is he 'showing off' for Taylor Swift?,"Travis Kelce had a huge 179-yard performance in Week 7, making some NFL fans wonder if he's ""showing off"" for Taylor Swift. And maybe that's a good thing.",2023-10-23T20:41:09Z,Fox Sports,Romance,Neutral
"NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day",There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!,2023-10-22T22:47:18Z,Fox Sports,Romance,Neutral
Travis Kelce's dad says he's impressed by Taylor Swift after meeting pop star,"Despite Travis Kelce joking that his father meeting Taylor Swift was ""terrifying,"" Ed Kelce reportedly had a great first impression of the pop star.",2023-10-24T19:39:28Z,Fox Sports,Personal Life,Positive
"Taylor Swift Effect: Chiefs 5-0, 4-1 ATS since star began attending Travis Kelce games",Travis Kelce and the Chiefs are on fire since superstar Taylor Swift started attending games. Patrick Everson talked to a long-time bookmaker about Kelce's props and how Swift has impacted the betting markets.,2023-10-24T17:21:43Z,Fox Sports,Industry-specific Impact,Positive
"Taylor Swift keeps audiences in a lavender haze, bests 'Killers of the Flower Moon'",Taylor Swift: The Eras Tour' continued its reign at the top of the box office despite a solid opening weekend for 'Killers of the Flower Moon.',2023-10-22T17:29:00Z,Los Angeles Times,Performances,Positive
Kelly Clarkson says she did not 'bash' the Taylor Swift-Travis Kelce romance,Kelly Clarkson clarifies that she did not 'bash' Taylor Swift and Travis Kelce and says she is 'pro romance.' 'Did y'all even watch what I actually said?',2023-10-23T18:37:53Z,Los Angeles Times,Public Image & Media Perception,Neutral
Jason Kelce Is a Little Nervous for Travis Kelce and Taylor Swift,"“This is another level of stardom that typically football players don’t deal with,"" he said.",2023-10-25T16:24:52Z,Vanity Fair,Personal Life,Negative
31 Days of Taylor Swift–Travis Kelce Mania in Kansas City,"When Taylor Swift and Chiefs tight end Travis Kelce’s romance became public, Kansas City suddenly found itself at the center of the pop culture universe. Reeves Wiedeman reports from Arrowhead Stadium to the bars and shops where rumors are flying.",2023-10-22T12:00:07Z,The Cut,Romance,Neutral
Taylor Swift KISSES Travis Kelce… And We’re All Enchanted!,"Taylor Swift took yet another step this weekend in her relationship with Travis Kelce. Look at her give him a kiss on the cheek here!
Taylor Swift KISSES Travis Kelce… And We’re All Enchanted! was originally published on The Hollywood Gossip.",2023-10-23T21:47:57Z,The Hollywood Gossip,Romance,Positive
"Fact Check: Elon Musk Tweeted, “I’d Rather Break My Leg Than See Taylor Swift During an NFL Game”?","In October 2023, Elon Musk tweeted, ""I’d rather break my leg than see Taylor Swift during an NFL game.""",2023-10-26T18:56:00Z,Snopes.com,Romance,Negative
Taylor Swift Celebrates Her Tenth No. 1 Hit,"Taylor Swift and Jack Antonoff celebrate their first no. 1 hit from 2019’s “Lover.” Swifties have been helping the song rise on the Billboard Hot 100, and with the push from “Cruel Summer (Autumn Version) (Recorded at Sofi Stadium)”, they succeeded.",2023-10-23T23:39:41Z,Vulture,Musical Creation,Positive
‘He’s a BUM Without Her!’ FS1’s Colin Cowherd Is Sold on Taylor Swift Going to Every Chiefs Game After Travis Kelce’s Big Day,"FS1 commentator Colin Cowherd is all in on Taylor Swift going to Kansas City Chiefs games if tight end Travis Kelce performs the way he did Sunday. The Chiefs beat the Los Angeles Chargers 31-17 thanks to a stellar performance from Kelce, who finished the gam…",2023-10-23T20:44:12Z,Biztoc.com,Romance,Positive
"Taylor Swift Leads Billboard Music Awards 2023 Finalists: Full List, Show Changes and How to Watch",Taylor Swift leads the pack at this year's ceremony as a finalist in 20 categories.,2023-10-26T20:33:41Z,WWD,Musical Creation,Positive
Travis Kelce's Ex Kayla Nicole Sings Praises of Therapy Amid Taylor Swift Coverage,"Kayla Nicole said that she started therapy after “a major breakup.""",2023-10-25T17:39:26Z,Vanity Fair,Personal Life,Negative
Fans Are Sure Taylor Swift Is Secretly Behind Upcoming Spy Movie ‘Argylle’,"From the presence of a Scottish fold cat to a potentially significant pseudonym, here’s a glimpse down Swifties’ new favorite rabbit hole.",2023-10-24T19:23:33Z,Vanity Fair,Public Image & Media Perception,Neutral
Travis Kelce’s Dad Likes That Taylor Swift Supports His Son's Very Demanding Sleep Schedule,That’s a touchdown with Ed Kelce.,2023-10-26T16:21:21Z,Vanity Fair,Personal Life,Positive
Deadpool 3 Director Is Still Refusing To Debunk Those Taylor Swift Casting Rumors,"Taylor Swift is rumored to appear in Deadpool 3 as a specific X-Men character, and the MCU movie's director once again does not deny it when asked.",2023-10-26T15:36:52Z,Screen Rant,Public Image & Media Perception,Neutral
Is Taylor Swift good luck for Travis Kelce? Here's what he and the stats have to say,Travis Kelce addresses the CBS graphic that suggests the presence of apparent girlfriend Taylor Swift at Chiefs games has had a positive effect on his performance.,2023-10-25T19:34:46Z,Los Angeles Times,Industry-specific Impact,Positive
"Who Is Patrick Mahomes' Wife? Meet Brittany Mahomes, Who's Sitting Next to Taylor Swift Right Now!","Brittany Mahomes is currently cheering on her husband Patrick Mahomes as he plays in Sunday’s big NFL game against the Chargers. You may be catching glimpses of Taylor Swift sitting next to Brittany right now in a Chiefs suite watching the game. Now, we’re ta…",2023-10-22T21:32:34Z,Just Jared,Personal Life,Neutral
Taylor Swift and Barbie take over this Halloween,"From Utah to Massachusetts, pop culture references have turned this year’s spooky season pink.",2023-10-31T18:18:04Z,BBC News,Public Image & Media Perception,Positive
Elon Musk appears to have given up on trying to camouflage his private-jet travels with an FAA program used by Jeff Bezos and Taylor Swift,"Elon Musk had signed up for the FAA's PIA program that allows private jet owners to fly incognito, but he appears to have stopped using it for now.",2023-10-28T09:07:01Z,Business Insider,Public Image & Media Perception,Negative
‘Five Nights at Freddy’s’ Beats Opening Weekend Ticket Sales for ‘Oppenheimer’ and ‘Taylor Swift: The Eras Tour’,"""The Holdovers"" and ""Priscilla"" both show initial promise in platform debuts, but with $78 million ""Freddy's"" is an ""Easy Rider"" moment for Gen Z.",2023-10-29T18:18:18Z,IndieWire,Performances,Neutral
Taylor Swift earnings visualized with bracelet beads,Bloomberg estimates that Taylor Swift reached billionaire status with her recent touring and music releases. Swift achieved the milestone mostly with music. Bloomberg provides the visual splits wit…,2023-10-30T09:43:48Z,Flowingdata.com,Personal Life,Neutral
This Spotify hack transformed my music — thanks to Taylor Swift,"In the world of music streaming, every note and nuance counts. And thanks to Taylor Swift, indirectly, I've found a hidden setting that you need to turn OFF to have the best experience with your music on Spotify.",2023-10-27T16:15:04Z,Windows Central,Musical Creation,Positive
Taylor Swift Bags Billionaire Status Amid Successful Eras Tour,"Taylor Swift has constructed a billion-dollar empire as her net worth reaches an estimated $1.1 billion, largely fueled by her highly successful Eras Tour. According to a Business Insider report, Swift’s financial success is attributed majorly to her 146-date…",2023-10-27T04:20:07Z,Biztoc.com,Performances,Positive
Taylor Swift’s Eras Tour Has Made Her A Billionaire,"Taylor Swift, whose ultra-lucrative Eras Tour is still going, has officially become a billionaire. According to a new analysis by Bloomberg News, the 33-year-old pop superstar now has a net worth of $1.1 billion. The tour is a major component of her fortune, …",2023-10-27T21:24:11Z,Deadline,Performances,Positive
Taylor Swift has Illuminati money now,"Taylor Swift is officially a billionaire now, and her Eras Tour has added an estimated $4.3 billion to the U.S. gross domestic product this year",2023-10-27T23:33:00Z,The A.V. Club,Personal Life,Negative
Taylor Swift swerves expectations again with new 1989 track “Slut!”,The prologue to 1989 (Taylor’s Version) explains exactly the kind of scrutiny that the original 1989 album was made under. “I had become the target of slut shaming—the intensity and relentlessness of which would be criticized and called out if it happened tod…,2023-10-27T15:34:00Z,The A.V. Club,Musical Creation,Positive
